search,acuenta,eltit,eltrebol,jumbo,santaisabel,unimarc,price_acuenta,pre_discount_acuenta,price_eltit,pre_discount_eltit,price_eltrebol,pre_discount_eltrebol,price_jumbo,pre_discount_jumbo,price_santaisabel,pre_discount_santaisabel,price_unimarc,pre_discount_unimarc
arroz,Arroz Grado 2 Bolsa 1Kg Tucapel,Arroz Pregraneado Tucapel 1Kg,Tucapel Arroz Tucapel Pregraneado G°1 kg,Tucapel Arroz Grado 2 Tucapel Gran Selección Grano Largo y Ancho 1 kg,Tucapel Arroz Grado 2 Tucapel Blue Grano Largo y Delgado 1 kg,Arroz tucapel pregraneado 1 kg,1950.0,1950.0,2199.0,2199.0,2190.0,2190.0,1690.0,2150.0,1790.0,1790.0,2830.0,2830.0
arroz,Arroz Preparado Chaufán Bolsa 210grs Tucapel...,Arroz Especial Preparado Chaufán Miraflores 210Gr,Tucapel Arroz Tucapel Chaufán 210 gr,Miraflores Arroz Preparado Miraflores Chaufan 210 g,Miraflores Arroz Preparado Miraflores Chaufan 210 g,Arroz preparado miraflores chaufán 210 g,950.0,950.0,1290.0,1290.0,949.0,949.0,1170.0,1170.0,1150.0,1150.0,930.0,1210.0
manzanas,Acondicionador Manzana Papaya Bio 750 ml Famila...,Acondicionador Mazana Papaya Familand 750Ml,Ballerina Acondicionador Ballerina Carbón 750 ml,Familand Acondicionador Familand Manzana y Papaya 750 ml,Familand Acondicionador Familand Manzana y Papaya 750 ml,Acondicionador familand granada uvaterapia 750 ml,1990.0,1990.0,1799.0,1799.0,1690.0,1690.0,1800.0,2220.0,1752.0,2190.0,1950.0,2190.0
sal,Sal Parrillera 750grs Lider,Sal Parillera Salero Lobos 750Gr,Sal Lobos Sal Lobos Parrillera 750 gr,Cuisine & Co Sal Parrillera 750 g,Cuisine & Co Sal Parrillera 750 g,Sal parrillera lobos 750 g,1350.0,1350.0,1399.0,1399.0,1590.0,1590.0,1390.0,1390.0,1370.0,1370.0,1650.0,1650.0
sal,Mantequilla con Sal 250grs Colun,Mantequilla Con Sal Chilolac 250Gr,Colun Mantequilla Colun S/Sal 250 Gr,Colun Mantequilla Colun Con Sal 250 g,Colun Mantequilla Colun Con Sal 250 g,Mantequilla colun con sal pan 250 g,2950.0,2950.0,2990.0,2990.0,3190.0,3190.0,2680.0,3350.0,3290.0,3290.0,2890.0,3330.0
sal,Mantequilla Sin Sal 250grs Colun,Mantequilla Colun Pan 250Gr,Colun Mantequilla Colun S/Sal 250 Gr,Colun Mantequilla Colun Sin Sal 250 g,Colun Mantequilla Colun Sin Sal 250 g,Mantequilla colun sin sal pan 250 g,3490.0,3490.0,2990.0,2990.0,3190.0,3190.0,2920.0,3650.0,3600.0,3600.0,3970.0,3970.0
sal,Mantequilla Con Sal 250 g Calo,Mantequilla Con Sal De Mar Soprole 250 Gr,Calo Mantequilla Calo Pan 250 gr,Calo Mantequilla Calo Con Sal 250 g,Calo Mantequilla Calo Con Sal 250 g,Mantequilla calo con sal pan 250 g,2950.0,2950.0,3090.0,3090.0,3290.0,3290.0,3250.0,3250.0,3220.0,3220.0,2990.0,2990.0
sal,Mantequilla Con Sal 250 g Soprole,Mantequilla Con Sal De Mar Soprole 250 Gr,Soprole Mantequilla Soprole Sal De Mar 250 Gr,Soprole Mantequilla Soprole Con Sal 250 g,Soprole Mantequilla Soprole Con Sal 250 g,Mantequilla soprole con sal 250 g,2950.0,2950.0,3090.0,3090.0,3190.0,3190.0,2690.0,3099.0,2690.0,3049.0,2550.0,3100.0
sal,Mantequilla con Sal 250grs Los Alerces,Mantequilla Los Alerces 250Gr,Los Alerces Mantequilla Los Alerces Pan 250 Gr,Los Alerces Mantequilla Los Alerces Con Sal 250 g,Los Alerces Mantequilla Los Alerces Con Sal 250 g,Mantequilla fundo los alerces con sal pan 250 g,2890.0,2890.0,2990.0,2990.0,2990.0,2990.0,2840.0,3550.0,3500.0,3500.0,3610.0,3610.0
sal,Acondicionador Sin Sal Granada 750ml Ballerina...,Acondicionador Palta Ballerina 750ml,Ballerina Acondicionador Ballerina Sin Sal Granada Frasco 750 ml,Ballerina Acondicionador Ballerina Granada 750 ml,Ballerina Acondicionador Ballerina Granada 750 ml,Acondicionador ballerina sin sal granada doypack 750 ml,1950.0,1950.0,1595.0,1595.0,1690.0,1690.0,1690.0,1820.0,1490.0,1790.0,1590.0,1950.0
azúcar,Azúcar Granulada 1Kg Lider,Azúcar Blanca Granulada Iansa 1Kg,Iansa Azúcar blanca granulada Iansa 1 kg,Cuisine & Co Azúcar Cuisine & Co Blanca Granulada 1 kg,Cuisine & Co Azúcar Cuisine & Co Blanca Granulada 1 kg,Azúcar granulada merkat 1 kg,1000.0,1250.0,1399.0,1399.0,1490.0,1490.0,1290.0,1290.0,1260.0,1260.0,1000.0,1150.0
aceite,Aceite De Maravilla 1 L Chef,Aceite de Maravilla Chef 1L,Chef Aceite Chef Maravilla 1 L,Chef Aceite de Maravilla Chef 1 L,Chef Aceite de Maravilla Chef 1 L,Aceite chef maravilla 0% colesterol 1 l,2750.0,2750.0,2990.0,2990.0,3590.0,3590.0,2790.0,3710.0,3610.0,3610.0,3590.0,3590.0
aceite,Aceite Maravilla 900 ml Lider,Aceite Maravilla Parral 900Ml,Parral Aceite Parral Maravilla 900 ml,Cuisine & Co Aceite de Maravilla 900 ml,Miraflores Aceite de Maravilla Miraflores 900 ml,Aceite nuestra cocina 100% maravilla 900 ml,2290.0,2290.0,2099.0,2099.0,2000.0,2390.0,2450.0,2450.0,1950.0,3150.0,2310.0,2310.0
queso,Queso Crema 180 g Philadelphia,Queso Crema Philadelphia 180Gr,Philadelphia Queso Crema Philadelphia 180 Grs,Philadelphia Queso Crema Philadelphia Envasado 180 g,Philadelphia Queso Crema Philadelphia Envasado 180 g,Queso crema philadelphia untable 180 g,3490.0,3490.0,3390.0,3390.0,3690.0,3690.0,3749.0,3749.0,3699.0,3699.0,3750.0,3750.0
mantequilla,Mantequilla con Sal 250grs Colun,Mantequilla Con Sal Chilolac 250Gr,Colun Mantequilla Colun S/Sal 250 Gr,Colun Mantequilla Colun Con Sal 250 g,Colun Mantequilla Colun Con Sal 250 g,Mantequilla colun con sal pan 250 g,2950.0,2950.0,2990.0,2990.0,3190.0,3190.0,2680.0,3350.0,3290.0,3290.0,2890.0,3330.0
mantequilla,Mantequilla Untable 200grs Colun,Mantequilla Untable Colun 200Gr,Soprole Mantequilla Untable Soprole 200 Grs,Colun Mantequilla Colun 200 g,Colun Mantequilla Colun 200 g,Mantequilla colun untable con sal pote 200 g,3490.0,3490.0,3290.0,3290.0,3690.0,3690.0,2903.0,3629.0,3190.0,3569.0,3630.0,3630.0
mantequilla,Mantequilla Con Sal 250 g Calo,Mantequilla Con Sal De Mar Soprole 250 Gr,Calo Mantequilla Calo Pan 250 gr,Calo Mantequilla Calo Con Sal 250 g,Calo Mantequilla Calo Con Sal 250 g,Mantequilla calo con sal pan 250 g,2950.0,2950.0,3090.0,3090.0,3290.0,3290.0,3250.0,3250.0,3220.0,3220.0,2990.0,2990.0
mantequilla,Mantequilla Con Sal 250 g Soprole,Mantequilla Con Sal De Mar Soprole 250 Gr,Soprole Mantequilla Soprole Sal De Mar 250 Gr,Soprole Mantequilla Soprole Con Sal 250 g,Soprole Mantequilla Soprole Con Sal 250 g,Mantequilla soprole con sal 250 g,2950.0,2950.0,3090.0,3090.0,3190.0,3190.0,2690.0,3099.0,2690.0,3049.0,2550.0,3100.0
mantequilla,Mantequilla Sin Sal 250grs Colun,Mantequilla Colun Pan 250Gr,Colun Mantequilla Colun S/Sal 250 Gr,Colun Mantequilla Colun Sin Sal 250 g,Colun Mantequilla Colun Sin Sal 250 g,Mantequilla colun sin sal pan 250 g,3490.0,3490.0,2990.0,2990.0,3190.0,3190.0,2920.0,3650.0,3600.0,3600.0,3970.0,3970.0
mantequilla,Mantequilla con Sal 250grs Los Alerces,Mantequilla Los Alerces 250Gr,Los Alerces Mantequilla Los Alerces Pan 250 Gr,Los Alerces Mantequilla Los Alerces Con Sal 250 g,Los Alerces Mantequilla Los Alerces Con Sal 250 g,Mantequilla fundo los alerces con sal pan 250 g,2890.0,2890.0,2990.0,2990.0,2990.0,2990.0,2840.0,3550.0,3500.0,3500.0,3610.0,3610.0
mantequilla,Mantequilla Untable 200grs Soprole,Mantequilla Untable Soprole 200Gr,Soprole Mantequilla Untable Soprole 200 Grs,Soprole Mantequilla Soprole Untable Pote 200 g,Soprole Mantequilla Soprole Untable Pote 200 g,Mantequilla untable soprole pote 200 g,3490.0,3790.0,3490.0,3490.0,3690.0,3690.0,3990.0,3990.0,3950.0,3950.0,3990.0,3990.0
avena,Avena Instantánea 700grs Lider,Avena Quaker Instantánea 700Gr,Vivo Avena Vivo Instantánea 700 Grs,Quaker Avena Instantánea Quaker 700 g,Quaker Avena Instantánea Quaker 700 g,Avena quaker instantánea 700 g,2150.0,2150.0,2499.0,2990.0,1890.0,2390.0,2699.0,2699.0,2659.0,2659.0,2450.0,2450.0
pan blanco,Pan De Molde Familiar Blanco 580grs Lider...,Pan de Molde Familiar Duo Castaño 585Gr,Castaño Pan Blanco Familiar Castaño 570 Grs,La Selecta Pan Molde La Selecta Blanco Familiar 580 g,La Selecta Pan Molde La Selecta Blanco Familiar 580 g,Pan molde la selecta blanco familiar bolsa 580 g,1990.0,1990.0,2690.0,2690.0,2490.0,2490.0,1990.0,2249.0,1990.0,2229.0,2450.0,2450.0
té,Mantequilla Con Sal 250 g Soprole,Mantequilla Con Sal De Mar Soprole 250 Gr,Soprole Mantequilla Soprole Sal De Mar 250 Gr,Soprole Mantequilla Soprole Con Sal 250 g,Soprole Mantequilla Soprole Con Sal 250 g,Mantequilla soprole con sal 250 g,2950.0,2950.0,3090.0,3090.0,3190.0,3190.0,2690.0,3099.0,2690.0,3049.0,2550.0,3100.0
té,Queso Crema 180 g Philadelphia,Queso Crema Philadelphia 180Gr,Philadelphia Queso Crema Philadelphia 180 Grs,Philadelphia Queso Crema Philadelphia Envasado 180 g,Philadelphia Queso Crema Philadelphia Envasado 180 g,Queso crema philadelphia untable 180 g,3490.0,3490.0,3390.0,3390.0,3690.0,3690.0,3749.0,3749.0,3699.0,3699.0,3750.0,3750.0
