search,acuenta,eltit,eltrebol,jumbo,santaisabel,unimarc,price_acuenta,pre_discount_acuenta,price_eltit,pre_discount_eltit,price_eltrebol,pre_discount_eltrebol,price_jumbo,pre_discount_jumbo,price_santaisabel,pre_discount_santaisabel,price_unimarc,pre_discount_unimarc
arroz,Arroz Preparado Chaufán Bolsa 210grs Tucapel...,Arroz Especial Preparado Chaufán Miraflores 210Gr,Miraflores Arroz Miraflores Chaufán 210 gr,Miraflores Arroz Preparado Miraflores Chaufan 210 g,Miraflores Arroz Preparado Miraflores Chaufan 210 g,,950.0,950.0,1290.0,1290.0,1490.0,1490.0,1170.0,1170.0,1150.0,1150.0,,
arroz,Arroz Grado 2 Bolsa 1Kg Tucapel,Arroz Pregraneado Tucapel 1Kg,Tucapel Arroz Tucapel Pregraneado G°1 kg,Tucapel Arroz Grado 1 Tucapel Pregraneado Grano Largo 1 kg,Tucapel Arroz Grado 1 Tucapel Pregraneado Grano Largo 1 kg,,1950.0,1950.0,2199.0,2199.0,2190.0,2190.0,1990.0,2490.0,1990.0,2470.0,,
arroz,Arroz Preparado Primavera Bolsa 210grs Tucapel...,Arroz Especial Preparado Primavera Tucapel 210Gr,Miraflores Arroz Miraflores Curry 210 gr,Miraflores Arroz Preparado Primavera 210 g,Miraflores Arroz Preparado Primavera 210 g,,950.0,950.0,890.0,890.0,1490.0,1490.0,1170.0,1170.0,1150.0,1150.0,,
arroz,Arroz Pregraneado Bolsa 1KG Miraflores,Arroz Pregraneado Grado 1 Banquete 1Kg,Tucapel Arroz Tucapel Pregraneado G°1 kg,Cuisine & Co Arroz Pregraneado 1 kg,Cuisine & Co Arroz Pregraneado 1 kg,,2290.0,2690.0,2099.0,2099.0,2190.0,2190.0,1890.0,2150.0,2050.0,2050.0,,
pasta,Pasta Protein Spaghetti 5 400 g Lucchetti...,Pasta Corbatitas Carozzi 400Gr,Carozzi Pastas Carozzi Spaghetti 5 400 Grs,Carozzi Pasta Spaghetti N°5 Carozzi 400 g,Carozzi Pasta Spaghetti N°5 Carozzi 400 g,,1550.0,1550.0,999.0,999.0,1090.0,1090.0,1090.0,1090.0,1050.0,1050.0,,
pasta,Pasta Espirales Al Huevo 400 g Lider,Pasta Espirales Lucchetti 400Gr,Carozzi Pastas Carozzi Espiral 49 400 gr,Carozzi Pasta Espiral N°49 Carozzi 400 g,Carozzi Pasta Espiral N°49 Carozzi 400 g,,1050.0,1050.0,999.0,999.0,1090.0,1090.0,1090.0,1090.0,1050.0,1050.0,,
pasta,Fideos Corbata N°80 400 g Carozzi,Pasta Corbatitas Carozzi 400Gr,Carozzi Pastas Carozzi Espiral 49 400 gr,Carozzi Pasta Corbata N°80 Carozzi 400 g,Carozzi Pasta Corbata N°80 Carozzi 400 g,,980.0,980.0,999.0,999.0,1090.0,1090.0,1090.0,1090.0,1050.0,1050.0,,
pasta,Fideos Corbata N°80 400 g Carozzi,Pasta Corbatitas Carozzi 400Gr,Carozzi Pastas Carozzi Quifaros 400 gr,Carozzi Pasta Rigatoni N°48 Carozzi 400 g,Carozzi Pasta Rigatoni N°48 Carozzi 400 g,,980.0,980.0,999.0,999.0,1090.0,1090.0,1090.0,1090.0,1050.0,1050.0,,
pasta,Fideos Corbata N°80 400 g Carozzi,Pasta Corbatitas Carozzi 400Gr,Carozzi Pastas Carozzi Quifaros 400 gr,Carozzi Pasta Quifaro N°36 Carozzi 400 g,Carozzi Pasta Quifaro N°36 Carozzi 400 g,,980.0,980.0,999.0,999.0,1090.0,1090.0,1090.0,1090.0,1050.0,1050.0,,
pasta,Fideos Mostaccioli N°46 400 g Carozzi,Pasta Corbatitas Carozzi 400Gr,Carozzi Pastas Carozzi Mostaccioli 46 400 gr,Carozzi Pasta Mostaccioli N°46 Carozzi 400 g,Carozzi Pasta Mostaccioli N°46 Carozzi 400 g,,980.0,980.0,999.0,999.0,1090.0,1090.0,1090.0,1090.0,1050.0,1050.0,,
