search,acuenta,eltit,eltrebol,jumbo,santaisabel,unimarc,price_acuenta,pre_discount_acuenta,price_eltit,pre_discount_eltit,price_eltrebol,pre_discount_eltrebol,price_jumbo,pre_discount_jumbo,price_santaisabel,pre_discount_santaisabel,price_unimarc,pre_discount_unimarc
arroz,Arroz Grado 2 Bolsa 1Kg Tucapel,Arroz Pregraneado Tucapel 1Kg,Tucapel Arroz Tucapel Pregraneado G°1 kg,Tucapel Arroz Grado 2 Tucapel Gran Selección Grano Largo y Ancho 1 kg,Tucapel Arroz Grado 2 Tucapel Gran Selección Grano Largo y Ancho 1 kg,Arroz tucapel pregraneado 1 kg,1950.0,1950.0,2199.0,2199.0,2190.0,2190.0,1690.0,2150.0,1690.0,2130.0,2830.0,2830.0
arroz,Arroz Grado 2 Bolsa 1Kg Tucapel,Arroz Pregraneado Tucapel 1Kg,Tucapel Arroz Tucapel Pregraneado G°1 kg,Tucapel Arroz Grado 2 Tucapel Gran Selección Grano Largo y Ancho 1 kg,Tucapel Arroz Grado 2 Tucapel Gran Selección Grano Largo y Ancho 1 kg,Arroz tucapel pregraneado 1 kg,1890.0,1890.0,2199.0,2199.0,2190.0,2190.0,1690.0,2150.0,1690.0,2130.0,2830.0,2830.0
arroz,Arroz Preparado Primavera Bolsa 210grs Tucapel...,Arroz Especial Preparado Primavera Miraflores 210Gr,Miraflores Arroz Miraflores Primavera 210 gr,Miraflores Arroz Preparado Primavera 210 g,Miraflores Arroz Preparado Primavera 210 g,Arroz preparado miraflores primavera 210 g,950.0,950.0,1290.0,1290.0,1490.0,1490.0,1170.0,1170.0,1150.0,1150.0,990.0,1210.0
