type,origin,destination,distance
supermarket-supermarket,jumbo_1,unimarc_1,2646
supermarket-supermarket,jumbo_1,unimarc_2,734
supermarket-supermarket,jumbo_1,unimarc_3,1460
supermarket-supermarket,jumbo_1,unimarc_4,1486
supermarket-supermarket,santaisabel_1,santaisabel_2,4123
supermarket-supermarket,santaisabel_1,unimarc_1,3371
supermarket-supermarket,santaisabel_1,unimarc_2,409
supermarket-supermarket,santaisabel_1,unimarc_3,468
supermarket-supermarket,santaisabel_1,unimarc_4,2263
supermarket-supermarket,santaisabel_2,unimarc_1,2288
supermarket-supermarket,santaisabel_2,unimarc_2,3937
supermarket-supermarket,santaisabel_2,unimarc_3,4589
supermarket-supermarket,santaisabel_2,unimarc_4,3851
supermarket-supermarket,unimarc_1,unimarc_2,3018
supermarket-supermarket,unimarc_1,unimarc_3,3516
supermarket-supermarket,unimarc_1,unimarc_4,3420
supermarket-supermarket,unimarc_2,unimarc_3,833
supermarket-supermarket,unimarc_2,unimarc_4,2128
supermarket-supermarket,unimarc_3,unimarc_4,2731
